# BEAST v1.9.0pre20161204 Prerelease #5657174
# Generated Tue Feb 21 14:19:07 GMT 2017 [seed=666]
# -seed 666 -beagle_cuda -beagle_double -beagle_order 1 -threshold 0.1 metazoan.xml
state	posterior	prior	likelihood	treeModel.rootHeight	yule.birthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-1254986.7505089694	-266.21183244273186	-1254720.5386765266	4.094780128427323	1.0	0.5	1.0	1.0	-1254720.5386765266	0.0	-35.64647032388722
5000	-880912.8290257055	-266.20779257648667	-880646.621233129	1.4339489552505191	1.420486822385593	0.39037736987756405	1.0	1.0	-880646.621233129	0.0	-35.86167571788691
10000	-865551.2150002744	-257.01461507972215	-865294.2003851946	1.2442277407260827	1.6770752464992822	0.39088442334390144	1.0	1.0	-865294.2003851946	0.0	-26.667484114189683
15000	-864356.9508361911	-254.5839071474566	-864102.3669290437	1.1416075298833332	1.4171937027934005	0.39867364943746486	1.0	1.0	-864102.3669290437	0.0	-24.22119772973705
20000	-863703.2861783914	-250.3995769523094	-863452.8866014391	1.0677889588499083	1.9560992128743924	0.40356455558929116	1.0	1.0	-863452.8866014391	0.0	-20.027085722286152
25000	-863003.0924236665	-246.9667169700312	-862756.1257066964	1.0060887536997516	2.1664513335111892	0.40937286941435996	1.0	1.0	-862756.1257066964	0.0	-16.58260911235787
30000	-862450.1692600835	-245.99637137887905	-862204.1728887046	0.9638916830471566	2.6365167933275058	0.4128898824066994	1.0	1.0	-862204.1728887046	0.0	-15.605229495221007
35000	-861964.499261816	-241.8988725571183	-861722.6003892589	0.9302281336834631	2.3854689764800656	0.42499938044070434	1.0	1.0	-861722.6003892589	0.0	-11.483511677392258
40000	-861536.8715109269	-239.4317428638747	-861297.439768063	0.8904850640513874	2.2660391672415723	0.42901115254318656	1.0	1.0	-861297.439768063	0.0	-9.008358439943699
45000	-861100.8723670309	-238.57593923799885	-860862.296427793	0.8618182574825978	3.01933692845263	0.43894025918333246	1.0	1.0	-860862.296427793	0.0	-8.132696600787545
50000	-860593.61616423	-235.84421590562022	-860357.7719483244	0.7953223436533811	3.2695588482035345	0.4469225321743478	1.0	1.0	-860357.7719483244	0.0	-5.385008722426882
55000	-860098.8763894839	-231.5863667449306	-859867.290022739	0.7653858922168896	2.8195376521380537	0.4496053942558855	1.0	1.0	-859867.290022739	0.0	-1.1217938375741878
60000	-859649.1964258316	-229.1960111917395	-859420.00041464	0.7352416192262115	2.596995843657493	0.46013095012331956	1.0	1.0	-859420.00041464	0.0	1.2896128273517657
65000	-859094.5064703472	-226.10319868711196	-858868.4032716601	0.691829137971532	3.162799050755429	0.4696248885988311	1.0	1.0	-858868.4032716601	0.0	4.401413208930344
70000	-858679.9126649048	-223.57125851550387	-858456.3414063894	0.6575070590272741	2.995161811765976	0.4765239957195266	1.0	1.0	-858456.3414063894	0.0	6.947151594779817
75000	-858366.2441519785	-221.86562729945172	-858144.3785246791	0.6416704029850189	3.1608310477306043	0.48143137597602537	1.0	1.0	-858144.3785246791	0.0	8.662597571344971
80000	-857912.8501120913	-219.1099356860514	-857693.7401764052	0.5998453805627139	3.0660662532010963	0.4899115148443809	1.0	1.0	-857693.7401764052	0.0	11.435249462482004
85000	-857529.6855813665	-217.2946472701	-857312.3909340964	0.5836626780558997	3.957369495203703	0.49503058228291613	1.0	1.0	-857312.3909340964	0.0	13.260776013310482
90000	-857131.0150427467	-214.87126709302444	-856916.1437756537	0.5658886087753631	3.338627738385575	0.4941231042584107	1.0	1.0	-856916.1437756537	0.0	15.682341234337013
